"time" "N1" "N2" "N3"
"490" 122.25 18.9535 11.8311 28.9825
"491" 122.5 19.7423 11.538 28.5513
"492" 122.75 20.5443 11.2464 28.1095
"493" 123 21.3581 10.9568 27.6576
"494" 123.25 22.1826 10.6692 27.1966
"495" 123.5 23.0166 10.3841 26.7271
"496" 123.75 23.8586 10.1016 26.25
"497" 124 24.7075 9.822 25.7662
"498" 124.25 25.5619 9.5456 25.2764
"499" 124.5 26.4204 9.2726 24.7816
"500" 124.75 27.2817 9.0031 24.2826
"501" 125 28.1445 8.7375 23.7804
"502" 125.25 29.0074 8.4759 23.2756
"503" 125.5 29.8693 8.2185 22.7693
"504" 125.75 30.7289 7.9655 22.2623
"505" 126 31.4757 7.7229 21.7754
"506" 126.25 32.0129 7.5109 21.3801
"507" 126.5 32.411 7.3304 21.0815
"508" 126.75 32.7133 7.175 20.8596
"509" 127 32.9486 7.0385 20.6948
"510" 127.25 33.1413 6.9187 20.5403
"511" 127.5 33.3132 6.8187 20.3755
"512" 127.75 33.4705 6.7396 20.2038
"513" 128 33.6144 6.6815 20.0263
"514" 128.25 33.7451 6.6442 19.8434
"515" 128.5 33.8626 6.6277 19.6554
"516" 128.75 33.967 6.6319 19.4624
"517" 129 34.058 6.6571 19.2647
"518" 129.25 34.1354 6.7035 19.0624
"519" 129.5 34.199 6.7716 18.8556
"520" 129.75 34.2484 6.8619 18.6443
"521" 130 34.2831 6.9752 18.4287
"522" 130.25 34.3025 7.1123 18.2086
"523" 130.5 34.3059 7.2746 17.9839
"524" 130.75 34.2924 7.4633 17.7545
"525" 131 34.2611 7.6801 17.5203
"526" 131.25 34.2108 7.927 17.281
"527" 131.5 34.14 8.2062 17.0363
"528" 131.75 34.0473 8.5202 16.7858
"529" 132 33.9308 8.8722 16.529
"530" 132.25 33.7884 9.2654 16.2655
"531" 132.5 33.6178 9.704 15.9946
"532" 132.75 33.4161 10.1924 15.7155
"533" 133 33.1806 10.7333 15.4276
"534" 133.25 32.9184 11.3001 15.134
"535" 133.5 32.6394 11.8867 14.8388
"536" 133.75 32.3452 12.4938 14.5428
"537" 134 32.0361 13.1213 14.2461
"538" 134.25 31.7124 13.769 13.949
"539" 134.5 31.3741 14.4364 13.6517
"540" 134.75 31.0216 15.1231 13.3543
"541" 135 30.6552 15.8284 13.057
"542" 135.25 30.2751 16.5517 12.76
"543" 135.5 29.8819 17.2921 12.4636
"544" 135.75 29.4761 18.0489 12.1681
"545" 136 29.0582 18.8211 11.8735
"546" 136.25 28.6289 19.6076 11.5803
"547" 136.5 28.1887 20.4074 11.2887
"548" 136.75 27.7384 21.2193 10.9989
"549" 137 27.2788 22.042 10.7111
"550" 137.25 26.8106 22.8744 10.4258
"551" 137.5 26.3347 23.7152 10.143
"552" 137.75 25.8518 24.563 9.8631
"553" 138 25.363 25.4165 9.5862
"554" 138.25 24.8689 26.2744 9.3128
"555" 138.5 24.3705 27.1353 9.0429
"556" 138.75 23.8686 27.9979 8.7768
"557" 139 23.3642 28.8609 8.5146
"558" 139.25 22.8581 29.723 8.2567
"559" 139.5 22.351 30.5831 8.0031
"560" 139.75 21.8551 31.3674 7.7573
"561" 140 21.4415 31.9353 7.5395
"562" 140.25 21.1271 32.3541 7.354
"563" 140.5 20.8932 32.6707 7.1948
"564" 140.75 20.7198 32.916 7.0555
"565" 141 20.5677 33.1141 6.9326
"566" 141.25 20.4042 33.2889 6.8291
"567" 141.5 20.2336 33.4485 6.7464
"568" 141.75 20.0571 33.5947 6.6847
"569" 142 19.8751 33.7276 6.6438
"570" 142.25 19.6879 33.8475 6.6237
"571" 142.5 19.4958 33.9541 6.6243
"572" 142.75 19.2989 34.0474 6.6458
"573" 143 19.0974 34.1272 6.6885
"574" 143.25 18.8913 34.1933 6.7527
"575" 143.5 18.6809 34.2452 6.839
"576" 143.75 18.466 34.2826 6.9481
"577" 144 18.2467 34.3047 7.081
"578" 144.25 18.0229 34.3111 7.2386
"579" 144.5 17.7944 34.3007 7.4225
"580" 144.75 17.5611 34.2727 7.6341
"581" 145 17.3228 34.2258 7.8754
"582" 145.25 17.0791 34.1589 8.1485
"583" 145.5 16.8297 34.0703 8.456
"584" 145.75 16.5741 33.9582 8.8007
"585" 146 16.3119 33.8207 9.1862
"586" 146.25 16.0424 33.6554 9.6162
"587" 146.5 15.7649 33.4596 10.0951
"588" 146.75 15.4787 33.2304 10.6275
"589" 147 15.1857 32.9719 11.1907
"590" 147.25 14.8908 32.6958 11.7734
"591" 147.5 14.595 32.4044 12.3766
"592" 147.75 14.2985 32.0982 13.0003
"593" 148 14.0016 31.7772 13.6442
"594" 148.25 13.7044 31.4417 14.3079
"595" 148.5 13.407 31.0918 14.9909
"596" 148.75 13.1098 30.7279 15.6927
"597" 149 12.8128 30.3504 16.4126
"598" 149.25 12.5164 29.9597 17.1498
"599" 149.5 12.2207 29.5562 17.9035
"600" 149.75 11.9261 29.1405 18.6728
"601" 150 11.6327 28.7132 19.4567
"602" 150.25 11.3408 28.275 20.254
"603" 150.5 11.0507 27.8266 21.0637
"604" 150.75 10.7626 27.3687 21.8845
"605" 151 10.4768 26.902 22.7151
"606" 151.25 10.1936 26.4275 23.5544
"607" 151.5 9.9132 25.9458 24.401
"608" 151.75 9.6359 25.458 25.2535
"609" 152 9.3618 24.9648 26.1106
"610" 152.25 9.0913 24.4672 26.971
"611" 152.5 8.8245 23.9659 27.8334
"612" 152.75 8.5617 23.4618 28.6964
"613" 153 8.303 22.9559 29.5588
"614" 153.25 8.0487 22.4489 30.4193
"615" 153.5 7.8002 21.9464 31.2369
"616" 153.75 7.576 21.5131 31.8413
"617" 154 7.3847 21.1807 32.2846
"618" 154.25 7.221 20.9328 32.6182
"619" 154.5 7.0784 20.7491 32.8753
"620" 154.75 6.9522 20.5979 33.0804
"621" 155 6.8448 20.4361 33.2586
"622" 155.25 6.7581 20.2667 33.4209
"623" 155.5 6.6924 20.0912 33.5696
"624" 155.75 6.6475 19.9103 33.7051
"625" 156 6.6234 19.7241 33.8275
"626" 156.25 6.62 19.5329 33.9366
