"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"118" 29.25 0.7861 1.9022 3.075 7.9473 8.6595 3.6319 23.4385 2.1693 7.2349 4.4249 1.821 6.5273 0.1487 0.1068 3.0783 0.339 0.1621
"119" 29.5 0.7857 1.8949 3.0797 8.0285 8.7721 3.6427 23.3944 2.1606 7.1857 4.4231 1.8129 6.5723 0.1456 0.1072 3.0668 0.3361 0.1618
"120" 29.75 0.7846 1.888 3.085 8.1122 8.8879 3.6502 23.3486 2.1501 7.138 4.422 1.8051 6.619 0.143 0.1076 3.0557 0.3334 0.1615
"121" 30 0.783 1.8814 3.0908 8.1982 9.0069 3.6548 23.301 2.1381 7.0916 4.4216 1.7976 6.6671 0.1408 0.1079 3.0448 0.3308 0.1612
"122" 30.25 0.7809 1.8751 3.097 8.2863 9.1289 3.6571 23.2517 2.1249 7.0464 4.4218 1.7903 6.7165 0.139 0.1082 3.0341 0.3283 0.1609
"123" 30.5 0.7784 1.869 3.1036 8.3764 9.2536 3.6573 23.2007 2.1107 7.0021 4.4224 1.7832 6.7671 0.1375 0.1084 3.0236 0.326 0.1607
"124" 30.75 0.7755 1.8631 3.1105 8.4683 9.381 3.6557 23.1482 2.0958 6.9588 4.4234 1.7764 6.8188 0.1363 0.1086 3.0131 0.3236 0.1604
"125" 31 0.7724 1.8574 3.1177 8.5619 9.5109 3.6528 23.0943 2.0801 6.9161 4.4247 1.7697 6.8714 0.1352 0.1087 3.0028 0.3214 0.1602
"126" 31.25 0.7691 1.8517 3.125 8.6571 9.6432 3.6486 23.0391 2.064 6.874 4.4262 1.763 6.9247 0.1343 0.1088 2.9926 0.3192 0.16
"127" 31.5 0.7655 1.8461 3.1324 8.7536 9.7776 3.6434 22.9827 2.0475 6.8323 4.4279 1.7565 6.9787 0.1336 0.1089 2.9823 0.317 0.1598
"128" 31.75 0.7618 1.8406 3.1399 8.8513 9.9141 3.6374 22.9253 2.0306 6.791 4.4296 1.75 7.0332 0.133 0.1089 2.9721 0.3148 0.1597
"129" 32 0.758 1.8351 3.1474 8.9502 10.0526 3.6308 22.867 2.0136 6.75 4.4313 1.7436 7.0882 0.1325 0.1089 2.9619 0.3127 0.1595
"130" 32.25 0.7542 1.8296 3.1549 9.0501 10.1929 3.6235 22.8078 1.9964 6.7092 4.433 1.7371 7.1436 0.1321 0.1089 2.9516 0.3105 0.1593
"131" 32.5 0.7502 1.824 3.1624 9.1509 10.3349 3.6159 22.7479 1.9792 6.6685 4.4346 1.7307 7.1993 0.1318 0.1088 2.9414 0.3084 0.1592
"132" 32.75 0.7462 1.8185 3.1698 9.2526 10.4786 3.6078 22.6873 1.9619 6.6278 4.4361 1.7242 7.2551 0.1315 0.1087 2.9311 0.3063 0.1591
"133" 33 0.7422 1.8129 3.1771 9.355 10.6238 3.5996 22.6262 1.9446 6.5873 4.4375 1.7177 7.3111 0.1313 0.1087 2.9207 0.3041 0.159
"134" 33.25 0.7381 1.8072 3.1843 9.458 10.7706 3.5911 22.5645 1.9274 6.5467 4.4387 1.7111 7.3672 0.1312 0.1085 2.9103 0.302 0.1589
"135" 33.5 0.7341 1.8015 3.1913 9.5617 10.9187 3.5826 22.5025 1.9103 6.506 4.4396 1.7045 7.4234 0.1311 0.1084 2.8999 0.2999 0.1588
"136" 33.75 0.73 1.7956 3.1982 9.6659 11.0682 3.5739 22.44 1.8933 6.4653 4.4403 1.6978 7.4795 0.131 0.1083 2.8894 0.2977 0.1587
"137" 34 0.726 1.7897 3.2049 9.7706 11.2189 3.5653 22.3772 1.8764 6.4245 4.4408 1.6911 7.5355 0.131 0.1082 2.8789 0.2956 0.1586
"138" 34.25 0.7219 1.7837 3.2114 9.8757 11.3709 3.5566 22.3141 1.8597 6.3835 4.441 1.6843 7.5915 0.1311 0.108 2.8683 0.2934 0.1586
"139" 34.5 0.718 1.7777 3.2177 9.9812 11.5241 3.5481 22.2508 1.8431 6.3425 4.4409 1.6774 7.6472 0.1311 0.1078 2.8576 0.2913 0.1585
"140" 34.75 0.714 1.7715 3.2237 10.0869 11.6783 3.5396 22.1872 1.8267 6.3013 4.4405 1.6704 7.7028 0.1312 0.1077 2.8469 0.2891 0.1585
"141" 35 0.7101 1.7652 3.2295 10.193 11.8337 3.5312 22.1236 1.8106 6.2599 4.4398 1.6633 7.7582 0.1313 0.1075 2.8361 0.2869 0.1584
"142" 35.25 0.7062 1.7588 3.2351 10.2993 11.99 3.523 22.0598 1.7946 6.2184 4.4388 1.6562 7.8133 0.1314 0.1073 2.8252 0.2847 0.1584
"143" 35.5 0.7024 1.7522 3.2404 10.4057 12.1474 3.515 21.9959 1.7788 6.1766 4.4374 1.6489 7.8682 0.1315 0.1072 2.8143 0.2825 0.1583
"144" 35.75 0.6987 1.7456 3.2455 10.5123 12.3056 3.5072 21.932 1.7633 6.1348 4.4357 1.6416 7.9227 0.1317 0.107 2.8033 0.2803 0.1583
"145" 36 0.695 1.7389 3.2503 10.619 12.4648 3.4996 21.868 1.7479 6.0927 4.4336 1.6341 7.9769 0.1319 0.1068 2.7922 0.2781 0.1582
"146" 36.25 0.6913 1.732 3.2548 10.7258 12.6248 3.4922 21.804 1.7328 6.0505 4.4312 1.6266 8.0308 0.132 0.1066 2.7811 0.2759 0.1582
"147" 36.5 0.6878 1.725 3.259 10.8326 12.7856 3.485 21.7401 1.718 6.0081 4.4284 1.6189 8.0842 0.1322 0.1064 2.77 0.2736 0.1582
"148" 36.75 0.6842 1.718 3.263 10.9394 12.9472 3.4782 21.6762 1.7034 5.9655 4.4253 1.6112 8.1372 0.1324 0.1062 2.7587 0.2714 0.1582
"149" 37 0.6808 1.7108 3.2667 11.0462 13.1096 3.4715 21.6124 1.689 5.9227 4.4218 1.6034 8.1898 0.1327 0.106 2.7475 0.2691 0.1582
"150" 37.25 0.6774 1.7034 3.27 11.1528 13.2726 3.4652 21.5487 1.6748 5.8798 4.4179 1.5955 8.242 0.1329 0.1058 2.7361 0.2669 0.1581
