"time" "Tot"
"1023" 255.5 120.3794
"1024" 255.75 120.3097
"1025" 256 120.2476
"1026" 256.25 120.1888
"1027" 256.5 120.1355
"1028" 256.75 120.0875
"1029" 257 120.0442
"1030" 257.25 120.0055
"1031" 257.5 119.9717
"1032" 257.75 119.9419
"1033" 258 119.9162
"1034" 258.25 119.8945
"1035" 258.5 119.8767
"1036" 258.75 119.8623
"1037" 259 119.8517
"1038" 259.25 119.8442
"1039" 259.5 119.8401
"1040" 259.75 119.8391
"1041" 260 119.839
"1042" 260.25 119.8399
"1043" 260.5 119.8423
"1044" 260.75 119.8461
"1045" 261 119.8511
"1046" 261.25 119.8441
"1047" 261.5 119.8109
"1048" 261.75 119.7807
"1049" 262 119.7628
"1050" 262.25 119.7587
"1051" 262.5 119.7696
"1052" 262.75 119.7972
"1053" 263 119.8436
"1054" 263.25 119.9028
"1055" 263.5 119.9198
"1056" 263.75 119.9314
"1057" 264 119.9429
"1058" 264.25 119.9404
"1059" 264.5 119.9274
"1060" 264.75 119.9116
"1061" 265 119.8937
"1062" 265.25 119.8735
"1063" 265.5 119.8463
"1064" 265.75 119.8196
"1065" 266 119.7952
"1066" 266.25 119.7727
"1067" 266.5 119.7526
"1068" 266.75 119.7348
"1069" 267 119.7197
"1070" 267.25 119.707
"1071" 267.5 119.6973
"1072" 267.75 119.6903
"1073" 268 119.6866
"1074" 268.25 119.686
"1075" 268.5 119.6886
"1076" 268.75 119.6949
"1077" 269 119.7046
"1078" 269.25 119.7184
"1079" 269.5 119.736
"1080" 269.75 119.7407
"1081" 270 119.7428
"1082" 270.25 119.7418
"1083" 270.5 119.7409
"1084" 270.75 119.7404
"1085" 271 119.7399
"1086" 271.25 119.7396
"1087" 271.5 119.7396
"1088" 271.75 119.7399
"1089" 272 119.7405
"1090" 272.25 119.7413
"1091" 272.5 119.7423
"1092" 272.75 119.7435
"1093" 273 119.7449
"1094" 273.25 119.7467
"1095" 273.5 119.7486
"1096" 273.75 119.7509
"1097" 274 119.7533
"1098" 274.25 119.7561
"1099" 274.5 119.7591
"1100" 274.75 119.7623
"1101" 275 119.7657
"1102" 275.25 119.7695
"1103" 275.5 119.7732
"1104" 275.75 119.7773
"1105" 276 119.777
"1106" 276.25 119.7743
"1107" 276.5 119.7637
"1108" 276.75 119.7371
"1109" 277 119.7111
"1110" 277.25 119.6881
"1111" 277.5 119.6682
"1112" 277.75 119.6517
"1113" 278 119.6383
"1114" 278.25 119.6282
"1115" 278.5 119.6214
"1116" 278.75 119.618
"1117" 279 119.6177
