"time" "N1" "N2" "N3"
"400" 99.75 20.5139 33.1445 6.9357
"401" 100 20.3478 33.3138 6.8391
"402" 100.25 20.1752 33.4688 6.7635
"403" 100.5 19.9968 33.6104 6.709
"404" 100.75 19.813 33.7388 6.6753
"405" 101 19.6241 33.854 6.6625
"406" 101.25 19.4303 33.9559 6.6707
"407" 101.5 19.2317 34.0444 6.6999
"408" 101.75 19.0285 34.1193 6.7505
"409" 102 18.8208 34.1801 6.8229
"410" 102.25 18.6086 34.2266 6.9179
"411" 102.5 18.3919 34.2582 7.0361
"412" 102.75 18.1708 34.2744 7.1786
"413" 103 17.945 34.2743 7.3465
"414" 103.25 17.7145 34.257 7.5414
"415" 103.5 17.479 34.2216 7.7648
"416" 103.75 17.2383 34.1668 8.019
"417" 104 16.9921 34.0912 8.3061
"418" 104.25 16.74 33.9931 8.6288
"419" 104.5 16.4814 33.8708 8.9903
"420" 104.75 16.2159 33.722 9.3941
"421" 105 15.9428 33.5442 9.8444
"422" 105.25 15.6614 33.3347 10.3459
"423" 105.5 15.3712 33.0913 10.8968
"424" 105.75 15.0765 32.8241 11.4693
"425" 106 14.7805 32.5408 12.0619
"426" 106.25 14.4837 32.2425 12.6751
"427" 106.5 14.1864 31.9294 13.3086
"428" 106.75 13.8887 31.6016 13.9622
"429" 107 13.5907 31.2594 14.6353
"430" 107.25 13.2928 30.903 15.3276
"431" 107.5 12.995 30.5328 16.0383
"432" 107.75 12.6977 30.149 16.7667
"433" 108 12.4009 29.7523 17.5121
"434" 108.25 12.1051 29.3432 18.2736
"435" 108.5 11.8104 28.9221 19.0501
"436" 108.75 11.5171 28.4897 19.8407
"437" 109 11.2254 28.0467 20.6442
"438" 109.25 10.9356 27.5939 21.4595
"439" 109.5 10.648 27.1319 22.2853
"440" 109.75 10.3628 26.6616 23.1203
"441" 110 10.0803 26.1837 23.9634
"442" 110.25 9.8007 25.6993 24.813
"443" 110.5 9.5243 25.209 25.668
"444" 110.75 9.2514 24.7138 26.527
"445" 111 8.982 24.2145 27.3886
"446" 111.25 8.7166 23.712 28.2515
"447" 111.5 8.4551 23.2072 29.1144
"448" 111.75 8.1979 22.7009 29.9761
"449" 112 7.9452 22.1939 30.8352
"450" 112.25 7.7054 21.7165 31.5486
"451" 112.5 7.4977 21.3354 32.0635
"452" 112.75 7.3208 21.0486 32.4465
"453" 113 7.168 20.8356 32.7384
"454" 113.25 7.0335 20.6762 32.9665
"455" 113.5 6.916 20.5199 33.1556
"456" 113.75 6.8186 20.3541 33.3255
"457" 114 6.7423 20.1817 33.4811
"458" 114.25 6.6868 20.0035 33.6232
"459" 114.5 6.6522 19.82 33.7522
"460" 114.75 6.6384 19.6313 33.8681
"461" 115 6.6454 19.4377 33.9706
"462" 115.25 6.6735 19.2393 34.0598
"463" 115.5 6.7228 19.0364 34.1354
"464" 115.75 6.7939 18.829 34.1971
"465" 116 6.8874 18.6171 34.2445
"466" 116.25 7.0039 18.4008 34.2771
"467" 116.5 7.1446 18.18 34.2943
"468" 116.75 7.3106 17.9546 34.2954
"469" 117 7.5033 17.7246 34.2795
"470" 117.25 7.7244 17.4896 34.2455
"471" 117.5 7.9759 17.2495 34.1922
"472" 117.75 8.2601 17.0038 34.1184
"473" 118 8.5796 16.7524 34.0222
"474" 118.25 8.9375 16.4945 33.902
"475" 118.5 9.3374 16.2299 33.7556
"476" 118.75 9.7832 15.9577 33.5805
"477" 119 10.2797 15.6772 33.3739
"478" 119.25 10.8269 15.3879 33.1334
"479" 119.5 11.3968 15.0938 32.8682
"480" 119.75 11.9869 14.7983 32.5866
"481" 120 12.5975 14.5019 32.29
"482" 120.25 13.2284 14.205 31.9786
"483" 120.5 13.8795 13.9077 31.6525
"484" 120.75 14.5502 13.6102 31.3119
"485" 121 15.24 13.3126 30.9571
"486" 121.25 15.9484 13.0152 30.5884
"487" 121.5 16.6746 12.7181 30.2062
"488" 121.75 17.4179 12.4217 29.8109
"489" 122 18.1773 12.1261 29.4031
"490" 122.25 18.952 11.8316 28.9833
"491" 122.5 19.7408 11.5385 28.5522
"492" 122.75 20.5428 11.2469 28.1103
"493" 123 21.3566 10.9573 27.6585
"494" 123.25 22.1811 10.6697 27.1975
"495" 123.5 23.015 10.3846 26.728
"496" 123.75 23.8571 10.1021 26.2509
"497" 124 24.7059 9.8225 25.7671
"498" 124.25 25.5603 9.5461 25.2773
"499" 124.5 26.4188 9.273 24.7825
"500" 124.75 27.2801 9.0036 24.2836
"501" 125 28.1428 8.738 23.7813
"502" 125.25 29.0058 8.4764 23.2766
"503" 125.5 29.8677 8.219 22.7703
"504" 125.75 30.7273 7.966 22.2632
"505" 126 31.4746 7.7233 21.7763
"506" 126.25 32.0121 7.5113 21.3808
"507" 126.5 32.4104 7.3307 21.082
"508" 126.75 32.7128 7.1753 20.8599
"509" 127 32.9482 7.0388 20.6951
"510" 127.25 33.141 6.9189 20.5407
"511" 127.5 33.3129 6.8188 20.3758
"512" 127.75 33.4703 6.7397 20.2041
"513" 128 33.6142 6.6816 20.0267
"514" 128.25 33.7449 6.6442 19.8438
"515" 128.5 33.8624 6.6276 19.6557
"516" 128.75 33.9668 6.6319 19.4628
"517" 129 34.0578 6.657 19.2651
"518" 129.25 34.1353 6.7034 19.0628
"519" 129.5 34.1989 6.7714 18.856
"520" 129.75 34.2483 6.8617 18.6447
"521" 130 34.2831 6.9749 18.4291
"522" 130.25 34.3025 7.112 18.209
"523" 130.5 34.3059 7.2742 17.9843
"524" 130.75 34.2925 7.4629 17.755
"525" 131 34.2613 7.6796 17.5208
"526" 131.25 34.211 7.9264 17.2815
"527" 131.5 34.1402 8.2055 17.0368
"528" 131.75 34.0476 8.5195 16.7863
"529" 132 33.9311 8.8714 16.5295
"530" 132.25 33.7888 9.2646 16.266
"531" 132.5 33.6182 9.703 15.9951
"532" 132.75 33.4166 10.1914 15.7161
"533" 133 33.1812 10.7322 15.4282
"534" 133.25 32.919 11.2989 15.1346
"535" 133.5 32.64 11.8854 14.8394
"536" 133.75 32.3458 12.4925 14.5433
"537" 134 32.0368 13.12 14.2467
"538" 134.25 31.7131 13.7677 13.9496
"539" 134.5 31.3749 14.4351 13.6523
"540" 134.75 31.0224 15.1217 13.3548
"541" 135 30.6559 15.827 13.0575
"542" 135.25 30.2759 16.5502 12.7606
"543" 135.5 29.8828 17.2906 12.4642
"544" 135.75 29.477 18.0474 12.1686
"545" 136 29.0591 18.8195 11.8741
"546" 136.25 28.6298 19.606 11.5809
"547" 136.5 28.1896 20.4057 11.2892
"548" 136.75 27.7394 21.2176 10.9994
"549" 137 27.2798 22.0403 10.7117
"550" 137.25 26.8116 22.8727 10.4263
"551" 137.5 26.3357 23.7135 10.1435
"552" 137.75 25.8529 24.5613 9.8636
"553" 138 25.364 25.4148 9.5868
"554" 138.25 24.8699 26.2726 9.3133
"555" 138.5 24.3715 27.1335 9.0434
"556" 138.75 23.8697 27.9961 8.7773
"557" 139 23.3653 28.8591 8.5151
"558" 139.25 22.8591 29.7213 8.2572
"559" 139.5 22.352 30.5813 8.0036
"560" 139.75 21.856 31.366 7.7577
"561" 140 21.4423 31.9343 7.5399
"562" 140.25 21.1277 32.3533 7.3543
"563" 140.5 20.8936 32.6701 7.1951
"564" 140.75 20.7201 32.9156 7.0557
"565" 141 20.568 33.1137 6.9328
"566" 141.25 20.4045 33.2886 6.8292
"567" 141.5 20.2339 33.4482 6.7465
"568" 141.75 20.0574 33.5944 6.6848
"569" 142 19.8755 33.7274 6.6438
"570" 142.25 19.6883 33.8472 6.6237
"571" 142.5 19.4962 33.9539 6.6243
"572" 142.75 19.2993 34.0473 6.6457
"573" 143 19.0978 34.1271 6.6884
"574" 143.25 18.8918 34.1932 6.7525
"575" 143.5 18.6813 34.2452 6.8388
"576" 143.75 18.4665 34.2825 6.9478
"577" 144 18.2471 34.3047 7.0806
"578" 144.25 18.0233 34.3111 7.2382
"579" 144.5 17.7949 34.3008 7.422
"580" 144.75 17.5616 34.2728 7.6336
"581" 145 17.3233 34.226 7.8748
"582" 145.25 17.0796 34.1591 8.1478
"583" 145.5 16.8302 34.0705 8.4552
"584" 145.75 16.5746 33.9585 8.7999
"585" 146 16.3124 33.821 9.1853
"586" 146.25 16.043 33.6558 9.6152
"587" 146.5 15.7655 33.4601 10.094
