"time" "N1" "N2" "N3" "N4" "N5"
"298" 74.25 12.1497 14.3842 35.5861 9.8746 47.8184
"299" 74.5 12.215 14.5632 35.2486 9.8393 47.9259
"300" 74.75 12.2955 14.7998 34.8895 9.7967 47.9945
"301" 75 12.3732 15.053 34.5264 9.7519 48.0508
"302" 75.25 12.4505 15.3094 34.165 9.7067 48.1038
"303" 75.5 12.5275 15.569 33.8055 9.6611 48.1538
"304" 75.75 12.604 15.8318 33.4478 9.6151 48.2007
"305" 76 12.6801 16.0978 33.0921 9.5688 48.2445
"306" 76.25 12.7559 16.3671 32.7383 9.5221 48.2852
"307" 76.5 12.8311 16.6396 32.3864 9.475 48.3227
"308" 76.75 12.906 16.9154 32.0365 9.4276 48.3571
"309" 77 12.9803 17.1945 31.6886 9.3799 48.3883
"310" 77.25 13.0542 17.4769 31.3426 9.3318 48.4163
"311" 77.5 13.1276 17.7625 30.9986 9.2834 48.4411
"312" 77.75 13.2005 18.0515 30.6567 9.2347 48.4628
"313" 78 13.2729 18.3437 30.3167 9.1856 48.4812
"314" 78.25 13.3447 18.6393 29.9788 9.1363 48.4964
"315" 78.5 13.416 18.9381 29.643 9.0866 48.5084
"316" 78.75 13.4867 19.2404 29.3092 9.0366 48.5171
"317" 79 13.5568 19.5459 28.9776 8.9864 48.5226
"318" 79.25 13.6264 19.8547 28.648 8.9359 48.5248
"319" 79.5 13.6953 20.1669 28.3205 8.8851 48.5238
"320" 79.75 13.7636 20.4825 27.9951 8.834 48.5196
"321" 80 13.8313 20.8013 27.6718 8.7827 48.5121
"322" 80.25 13.8983 21.1235 27.3507 8.7311 48.5013
"323" 80.5 13.9647 21.449 27.0318 8.6793 48.4872
"324" 80.75 14.0303 21.7779 26.715 8.6272 48.4699
"325" 81 14.0953 22.1101 26.4003 8.5749 48.4494
"326" 81.25 14.1596 22.4456 26.0879 8.5224 48.4255
"327" 81.5 14.2232 22.7844 25.7776 8.4697 48.3984
"328" 81.75 14.286 23.1266 25.4695 8.4167 48.368
"329" 82 14.348 23.472 25.1637 8.3636 48.3344
"330" 82.25 14.4094 23.8208 24.86 8.3103 48.2975
"331" 82.5 14.4699 24.1728 24.5586 8.2568 48.2574
"332" 82.75 14.531 24.5116 24.2613 8.2038 48.2183
"333" 83 14.6009 24.7993 23.9884 8.1583 48.1572
"334" 83.25 14.6609 25.0583 23.7849 8.1186 48.0425
"335" 83.5 14.707 25.2945 23.6661 8.0793 47.8853
"336" 83.75 14.7389 25.5064 23.6364 8.0404 47.6849
"337" 84 14.7557 25.6923 23.6999 8.0021 47.4403
"338" 84.25 14.7569 25.8503 23.8606 7.9645 47.1502
"339" 84.5 14.7417 25.9787 24.1233 7.9278 46.8134
"340" 84.75 14.7093 26.0751 24.4931 7.892 46.4285
"341" 85 14.6608 26.1414 24.9444 7.8576 45.9999
"342" 85.25 14.6074 26.1982 25.4001 7.8269 45.5606
"343" 85.5 14.5521 26.2511 25.8596 7.8004 45.1195
"344" 85.75 14.4951 26.3002 26.323 7.7781 44.6769
"345" 86 14.4362 26.3455 26.7902 7.76 44.233
"346" 86.25 14.3756 26.387 27.2611 7.746 43.7879
"347" 86.5 14.3133 26.4247 27.7356 7.7361 43.3417
"348" 86.75 14.2493 26.4585 28.2137 7.7302 42.8946
"349" 87 14.1836 26.4885 28.6951 7.7284 42.4467
"350" 87.25 14.1163 26.5146 29.1799 7.7305 41.998
"351" 87.5 14.0473 26.5368 29.6678 7.7367 41.5488
"352" 87.75 13.9768 26.5552 30.1589 7.7468 41.0992
"353" 88 13.9047 26.5696 30.6528 7.7608 40.6492
"354" 88.25 13.831 26.5801 31.1497 7.7788 40.1991
"355" 88.5 13.7558 26.5867 31.6492 7.8008 39.7488
"356" 88.75 13.6792 26.5894 32.1513 7.8267 39.2985
"357" 89 13.6011 26.5881 32.6558 7.8565 38.8484
"358" 89.25 13.5216 26.5829 33.1627 7.8903 38.3985
"359" 89.5 13.4406 26.5738 33.6716 7.9281 37.9489
"360" 89.75 13.3583 26.5607 34.1826 7.9699 37.4998
"361" 90 13.2747 26.5437 34.6954 8.0157 37.0512
"362" 90.25 13.1897 26.5228 35.2099 8.0655 36.6033
"363" 90.5 13.1034 26.4979 35.7259 8.1194 36.1561
"364" 90.75 13.0163 26.4699 36.2329 8.1775 35.7107
"365" 91 12.9409 26.4664 36.6123 8.2425 35.299
"366" 91.25 12.8727 26.4872 36.8792 8.316 34.9407
"367" 91.5 12.7879 26.4758 37.086 8.4009 34.6609
"368" 91.75 12.6914 26.437 37.2529 8.4979 34.4625
"369" 92 12.5856 26.3756 37.3864 8.6066 34.3343
"370" 92.25 12.4722 26.295 37.491 8.7254 34.2655
"371" 92.5 12.3531 26.1993 37.5724 8.8434 34.2498
"372" 92.75 12.2298 26.0916 37.6351 8.9579 34.2821
"373" 93 12.1031 25.9736 37.6813 9.0696 34.3563
"374" 93.25 11.9737 25.8468 37.7131 9.1787 34.4673
"375" 93.5 11.8421 25.7125 37.732 9.2857 34.6105
"376" 93.75 11.709 25.5715 37.7394 9.3907 34.7817
"377" 94 11.5746 25.4249 37.7367 9.4941 34.9775
"378" 94.25 11.4394 25.2735 37.725 9.5961 35.1948
"379" 94.5 11.3037 25.118 37.7052 9.6969 35.4305
"380" 94.75 11.1678 24.9589 37.6782 9.7966 35.6823
"381" 95 11.0319 24.797 37.6449 9.8956 35.9479
