"time" "N1" "N2" "N3" "N4" "N5" "N6"
"456" 113.75 49.7244 37.7038 26.6775 0 0 0
"457" 114 49.5214 37.7263 26.8298 0 0 0
"458" 114.25 49.3232 37.745 26.9802 0 0 0
"459" 114.5 49.1305 37.7602 27.1287 0 0 0
"460" 114.75 48.9438 37.7719 27.2755 0 0 0
"461" 115 48.7637 37.7799 27.4202 0 0 0
"462" 115.25 48.5905 37.7842 27.5627 0 0 0
"463" 115.5 48.4248 37.7843 27.7029 0 0 0
"464" 115.75 48.2671 37.7803 27.8405 0 0 0
"465" 116 48.1177 37.7718 27.9753 0 0 0
"466" 116.25 47.9774 37.7586 28.1071 0 0 0
"467" 116.5 47.8465 37.7406 28.2357 0 0 0
"468" 116.75 47.7256 37.7174 28.3608 0 0 0
"469" 117 47.6154 37.6888 28.4822 0 0 0
"470" 117.25 47.5165 37.6546 28.5995 0 0 0
"471" 117.5 47.4294 37.6145 28.7126 0 0 0
"472" 117.75 47.3548 37.5682 28.8211 0 0 0
"473" 118 47.2934 37.5156 28.9248 0 0 0
"474" 118.25 47.2459 37.4561 29.0233 0 0 0
"475" 118.5 47.2131 37.3897 29.1163 0 0 0
"476" 118.75 47.1957 37.3159 29.2034 0 0 0
"477" 119 47.1946 37.2345 29.2844 0 0 0
"478" 119.25 47.2105 37.1451 29.3588 0 0 0
"479" 119.5 47.2443 37.0474 29.4262 0 0 0
"480" 119.75 47.2971 36.941 29.4862 0 0 0
"481" 120 47.3697 36.8256 29.5385 0 0 0
"482" 120.25 47.4631 36.7006 29.5825 0 0 0
"483" 120.5 47.5785 36.5659 29.6177 0 0 0
"484" 120.75 47.7169 36.4208 29.6438 0 0 0
"485" 121 47.8795 36.265 29.6601 0 0 0
"486" 121.25 48.0676 36.098 29.6661 0 0 0
"487" 121.5 48.2825 35.9193 29.6612 0 0 0
"488" 121.75 48.5257 35.7283 29.6448 0 0 0
"489" 122 48.7985 35.5246 29.6163 0 0 0
"490" 122.25 49.1025 35.3075 29.575 0 0 0
