"time" "N1" "N2" "N3" "N4" "N5" "R1" "R2" "R3" "R4" "R5"
"178" 1044 9.7967 25.9469 26.5935 13.5412 43.8794 0.4119 0.1486 0.2691 0.2113 0.098
"179" 1044.25 9.7344 25.9277 26.9318 13.8052 43.3507 0.4021 0.1439 0.291 0.2128 0.099
"180" 1044.5 9.6774 25.9222 27.2337 14.0533 42.8481 0.3936 0.1402 0.3126 0.2144 0.1001
"181" 1044.75 9.6254 25.9304 27.5037 14.2866 42.3707 0.3862 0.1369 0.3335 0.216 0.1012
"182" 1045 9.578 25.9512 27.745 14.5066 41.9161 0.3798 0.1341 0.3537 0.2175 0.1022
"183" 1045.25 9.5351 25.9766 27.9616 14.715 41.4835 0.3743 0.132 0.3735 0.2191 0.1034
"184" 1045.5 9.499 25.9869 28.16 14.9154 41.0815 0.3695 0.1303 0.3924 0.2207 0.1053
"185" 1045.75 9.4707 25.9814 28.3414 15.1082 40.7144 0.3651 0.1286 0.4098 0.2221 0.1072
"186" 1046 9.4508 25.9596 28.505 15.2927 40.3834 0.3612 0.1268 0.4255 0.2232 0.1094
"187" 1046.25 9.4398 25.9214 28.65 15.4683 40.09 0.3577 0.1251 0.4394 0.2241 0.1117
"188" 1046.5 9.4382 25.8664 28.7757 15.6345 39.8354 0.3547 0.1233 0.4516 0.2247 0.1142
"189" 1046.75 9.4464 25.7944 28.8816 15.7907 39.6208 0.3522 0.1215 0.4618 0.2251 0.1167
"190" 1047 9.4648 25.7053 28.9668 15.9362 39.4472 0.3502 0.1197 0.4701 0.2251 0.1195
"191" 1047.25 9.494 25.5988 29.0309 16.0704 39.3156 0.3487 0.1178 0.4764 0.2248 0.1223
"192" 1047.5 9.5343 25.4749 29.0732 16.1929 39.2271 0.3477 0.1159 0.4807 0.2242 0.1253
"193" 1047.75 9.5863 25.3334 29.0932 16.303 39.1826 0.3473 0.1141 0.4828 0.2233 0.1284
"194" 1048 9.6503 25.1743 29.0903 16.4002 39.183 0.3474 0.1121 0.4829 0.222 0.1316
"195" 1048.25 9.7269 24.9976 29.0641 16.484 39.229 0.348 0.1102 0.4807 0.2204 0.1349
"196" 1048.5 9.8164 24.8031 29.0141 16.5537 39.3216 0.3492 0.1082 0.4763 0.2184 0.1383
"197" 1048.75 9.9193 24.5909 28.9398 16.6087 39.4614 0.351 0.1062 0.4695 0.216 0.1418
"198" 1049 10.0361 24.361 28.8407 16.6487 39.6493 0.3533 0.1042 0.4605 0.2132 0.1453
"199" 1049.25 10.1672 24.1134 28.7165 16.673 39.8842 0.3563 0.1022 0.4492 0.21 0.1489
"200" 1049.5 10.3157 23.8559 28.5768 16.6873 40.123 0.3604 0.1016 0.4392 0.2069 0.1538
"201" 1049.75 10.4824 23.5963 28.4314 16.6977 40.3533 0.3646 0.1012 0.4298 0.2035 0.1588
"202" 1050 10.6536 23.3373 28.2838 16.7061 40.5799 0.3691 0.101 0.4207 0.2001 0.164
"203" 1050.25 10.8269 23.0798 28.1352 16.7135 40.8051 0.3735 0.1009 0.4117 0.1966 0.1692
"204" 1050.5 11.0022 22.8239 27.9858 16.7199 41.0289 0.378 0.1007 0.4028 0.1931 0.1743
"205" 1050.75 11.1796 22.5696 27.8356 16.7252 41.2511 0.3825 0.1006 0.3939 0.1896 0.1793
"206" 1051 11.3589 22.3169 27.6845 16.7295 41.4718 0.387 0.1005 0.385 0.186 0.1843
"207" 1051.25 11.5404 22.0659 27.5326 16.7327 41.6909 0.3915 0.1003 0.3761 0.1823 0.1893
"208" 1051.5 11.7238 21.8165 27.38 16.7349 41.9085 0.3961 0.1002 0.3673 0.1786 0.1942
"209" 1051.75 11.9094 21.5687 27.2265 16.736 42.1243 0.4006 0.1001 0.3585 0.1749 0.1991
"210" 1052 12.097 21.3226 27.0724 16.7361 42.3386 0.4052 0.0999 0.3498 0.1711 0.2039
"211" 1052.25 12.2867 21.0782 26.9175 16.7351 42.5511 0.4097 0.0998 0.3411 0.1672 0.2086
"212" 1052.5 12.4784 20.8354 26.762 16.7331 42.7618 0.4143 0.0997 0.3325 0.1633 0.2133
"213" 1052.75 12.6723 20.5943 26.6058 16.73 42.9708 0.4189 0.0995 0.3238 0.1594 0.218
"214" 1053 12.8682 20.3549 26.449 16.7259 43.1779 0.4235 0.0994 0.3153 0.1554 0.2226
"215" 1053.25 13.0662 20.1172 26.2915 16.7208 43.3831 0.4281 0.0993 0.3068 0.1513 0.2271
"216" 1053.5 13.2663 19.8812 26.1335 16.7145 43.5865 0.4327 0.0991 0.2983 0.1472 0.2316
"217" 1053.75 13.4685 19.6469 25.9748 16.7073 43.788 0.4373 0.099 0.2899 0.1431 0.2361
"218" 1054 13.6729 19.4143 25.8157 16.699 43.9874 0.442 0.0989 0.2816 0.1389 0.2405
"219" 1054.25 13.8793 19.1834 25.656 16.6897 44.1849 0.4466 0.0987 0.2733 0.1346 0.2448
"220" 1054.5 14.0767 18.9553 25.4973 16.6804 44.3834 0.4514 0.0989 0.2653 0.1307 0.2494
"221" 1054.75 14.2556 18.7322 25.3429 16.6705 44.5891 0.4561 0.0994 0.2574 0.1272 0.254
"222" 1055 14.4176 18.5176 25.1982 16.6441 44.802 0.4609 0.1008 0.25 0.1243 0.2591
"223" 1055.25 14.5663 18.3227 25.0798 16.6026 44.9806 0.4655 0.1038 0.2456 0.1221 0.2649
"224" 1055.5 14.704 18.1529 24.9962 16.5486 45.1234 0.4691 0.107 0.2426 0.1202 0.2702
"225" 1055.75 14.831 18.0076 24.947 16.4832 45.2325 0.4715 0.1102 0.2406 0.1183 0.2748
"226" 1056 14.9479 17.8856 24.9312 16.4071 45.3092 0.4728 0.1134 0.2395 0.1166 0.2786
"227" 1056.25 15.0547 17.7858 24.9476 16.3209 45.355 0.473 0.1165 0.2394 0.115 0.2818
"228" 1056.5 15.1518 17.7069 24.9949 16.2253 45.3715 0.4721 0.1195 0.2401 0.1134 0.2843
"229" 1056.75 15.2396 17.6479 25.072 16.1211 45.3599 0.4702 0.1223 0.2416 0.112 0.2862
"230" 1057 15.3183 17.6076 25.1777 16.0087 45.3216 0.4673 0.1251 0.2438 0.1106 0.2875
"231" 1057.25 15.3883 17.5849 25.3108 15.8889 45.2579 0.4634 0.1278 0.2466 0.1093 0.2882
"232" 1057.5 15.4497 17.5787 25.4702 15.7621 45.1702 0.4587 0.1303 0.2501 0.1081 0.2883
"233" 1057.75 15.5031 17.5881 25.6547 15.6289 45.0597 0.453 0.1327 0.2542 0.1069 0.2878
"234" 1058 15.5485 17.612 25.8633 15.4899 44.9276 0.4465 0.1349 0.2588 0.1058 0.2869
"235" 1058.25 15.5864 17.6495 26.0948 15.3454 44.7751 0.4391 0.137 0.2639 0.1047 0.2854
"236" 1058.5 15.617 17.6995 26.3483 15.1961 44.6033 0.431 0.1389 0.2694 0.1037 0.2835
"237" 1058.75 15.6406 17.7613 26.6226 15.0424 44.4135 0.4221 0.1407 0.2754 0.1028 0.2811
"238" 1059 15.6575 17.8338 26.9168 14.8846 44.2066 0.4125 0.1424 0.2818 0.1019 0.2784
"239" 1059.25 15.668 17.9163 27.2297 14.7233 43.9838 0.4023 0.1438 0.2885 0.101 0.2752
